X_dataobs_,State,Account_Length,Int_l_Plan,VMail_Plan,VMail_Message,Day_Mins,Day_Calls,Eve_Mins,Eve_Calls,Night_Mins,Night_Calls,Intl_Mins,Intl_Calls,CustServ_Calls,Churn_,Assignments,DistancesToClusterCenter no.0,DistancesToClusterCenter no.1
159,NH,64,no,yes,27,182.1,91,169.7,98,164.7,86,10.6,5,2,FALSE,0,74.50318609,80.57227491
160,NM,25,no,no,0,119.3,87,211.5,101,268.9,86,10.5,4,3,FALSE,1,147.6437816,105.3483921
161,OR,65,no,no,0,116.8,87,178.9,93,182.4,150,14.1,2,1,FALSE,1,126.0669954,74.28478321
162,LA,179,no,no,0,219.2,92,149.4,125,244.7,104,6.1,5,0,FALSE,0,104.1923955,138.1544671
163,NE,94,no,no,0,252.6,104,169,125,170.9,106,11.1,7,2,FALSE,0,56.6867068,127.4740168
164,MN,62,no,no,0,147.1,91,190.4,107,195.2,115,12.2,3,0,FALSE,1,87.69931419,46.94761151
165,MI,127,no,no,0,202.1,103,229.4,86,195.2,113,11.5,3,2,FALSE,0,53.07276233,76.75176909
166,AR,116,no,no,0,173.5,93,194.1,76,208,112,16.2,10,3,FALSE,1,60.14513757,51.97805921
167,WV,94,yes,yes,23,197.1,125,214.5,136,282.2,103,9.5,5,4,FALSE,0,99.39806945,112.2426391
168,AK,126,no,no,0,58.2,94,138.7,118,136.8,91,11.9,1,5,TRUE,1,188.0326626,127.0574632
169,NH,19,no,no,0,186.1,98,254.3,57,214,127,14.6,7,2,FALSE,1,120.4709105,118.1522187
170,VA,170,yes,no,0,259.9,68,245,122,134.4,121,8.4,3,3,FALSE,0,123.2040941,166.2634959
171,NM,73,no,no,0,214.3,145,268.5,135,241.2,92,10.8,13,1,FALSE,0,106.6874565,124.6539085
172,NY,106,no,no,0,158.7,74,64.3,139,198.5,103,10.2,4,1,FALSE,1,152.6163617,151.8725427
173,AZ,93,no,no,0,271.6,71,229.4,108,77.3,121,10.9,3,2,FALSE,0,142.6916293,186.7476904
174,WY,164,no,no,0,160.6,111,163.2,126,187.1,112,9,3,1,FALSE,1,99.89483433,88.15333531
175,WA,51,no,no,0,232.4,109,187.4,95,231.2,107,9.1,3,1,FALSE,0,61.4960829,113.6806947
176,CO,107,no,no,0,133.8,85,180.5,94,112.2,115,8.9,4,0,FALSE,1,128.5368604,94.76768768
177,TX,130,no,no,0,176.9,109,90.7,104,238,69,9.5,2,1,FALSE,0,127.1680013,136.2520846
178,KY,80,no,no,0,209.9,74,195.1,77,208.2,119,8.8,4,2,FALSE,0,48.21020169,86.26766493
179,OK,118,no,yes,23,289.5,52,166.6,111,119.1,88,9.5,4,1,FALSE,0,122.5619405,185.2134071
180,MD,117,no,yes,23,198.1,86,177,86,180.5,92,6.8,6,1,FALSE,0,47.79134815,77.02627866
181,TN,78,no,no,0,149.7,119,182.2,115,261.5,126,9.7,8,0,FALSE,1,104.9422132,79.88704191
182,ME,131,yes,yes,26,292.9,101,199.7,97,255.3,127,13.8,7,4,TRUE,0,99.87343517,171.3423395
183,DC,63,no,no,0,83,64,177,106,245.7,89,13,3,0,FALSE,1,157.4357185,93.92556501
184,MN,53,no,yes,24,145.7,146,220.5,136,249.9,96,13.1,5,3,FALSE,1,122.2926853,92.92928123
185,DE,62,no,no,0,182.3,101,328.2,93,245,131,11.2,1,2,FALSE,1,155.3070865,145.7819507
186,MI,105,no,no,0,140.6,109,178.6,51,217,83,6.8,3,2,FALSE,1,100.5554054,63.29477365
187,WA,157,no,no,0,152.7,105,257.5,80,198.1,93,9.4,4,1,FALSE,1,112.1379554,81.52817868
188,MO,66,no,yes,36,106.7,76,209.8,77,190.4,117,12.1,2,1,FALSE,1,131.2472066,66.20783292
189,IN,122,no,no,0,243.8,98,83.9,72,179.8,84,13.7,8,2,FALSE,0,121.1225246,168.6515626
190,OR,38,no,no,0,194.4,94,186.7,95,223.3,90,10.8,5,3,FALSE,0,74.44257935,90.43115795
191,MD,106,no,no,0,213.9,95,151.9,70,260.1,124,12.2,5,3,FALSE,0,83.86666667,118.8178989
192,RI,99,no,no,0,217.2,112,246.7,89,226.1,89,15.8,7,3,FALSE,0,62.44429046,95.39053346
193,LA,99,no,no,0,241.1,72,155.6,98,188.2,109,11.6,10,1,FALSE,0,54.71301316,120.0881052
194,AZ,144,yes,no,0,203.5,100,247.6,103,194.3,94,11.9,11,0,FALSE,0,72.50686368,90.32763428
195,PA,82,no,yes,24,155.2,131,244.5,106,122.4,68,10.7,3,1,FALSE,1,125.6566883,101.4720016
196,AZ,86,no,yes,31,167.6,139,113,118,246.9,121,12.2,6,1,FALSE,0,121.6597693,122.407025
197,FL,70,yes,no,0,226.7,98,228.1,115,73.2,93,17.6,4,2,TRUE,0,136.9433224,160.1100838
198,LA,93,no,no,0,179.3,93,178.6,98,225.2,131,11.5,6,3,FALSE,0,62.36655699,65.69751496
199,FL,93,no,no,0,151.4,89,186.4,76,172.5,120,10.9,3,0,FALSE,1,84.76229055,50.66336293
200,FL,120,no,no,0,180,80,224.2,82,265.4,91,4.7,7,3,FALSE,1,90.45785597,87.91510851
201,MD,136,no,no,0,250.2,121,267.1,118,151,114,13,2,1,TRUE,0,103.8501464,145.0647183
202,AL,106,no,no,0,223,121,110.1,98,188.7,107,7.1,12,0,FALSE,0,88.79848458,132.1434412
203,WA,81,no,no,0,183.6,116,152.6,98,212.2,99,12.2,6,3,FALSE,0,64.11714083,76.78142697
204,TN,127,no,yes,22,166,114,174.5,103,244.9,68,10.2,6,1,FALSE,1,87.39613752,78.04216696
205,MS,65,no,no,0,136.1,112,272.9,96,220.2,104,4.4,2,1,FALSE,1,124.8728608,79.03341065
206,ME,35,no,no,0,149.3,113,242.2,122,174.3,104,8.9,6,2,FALSE,1,115.8201523,83.11770161
207,OK,88,no,no,0,65.4,97,168.2,76,236,113,13.8,1,2,FALSE,1,166.3320084,94.96256391
208,IN,65,no,no,0,213.4,111,234.5,94,250.1,123,2.7,4,1,FALSE,0,78.97717556,105.086164
209,MO,123,no,no,0,206.9,85,244.7,78,221.5,136,7.7,2,3,FALSE,0,76.35041251,96.68893243
210,IA,126,no,yes,27,186.2,78,189.6,83,76.5,139,9.6,3,2,FALSE,0,141.8356611,145.7078665
211,VA,104,no,yes,23,280.2,136,220.5,92,136.9,102,13.3,3,4,FALSE,0,98.38096572,161.6006607
212,KY,45,no,yes,22,196.6,84,313.2,92,163.3,108,11.9,3,0,FALSE,1,141.1904658,140.2024592
213,MD,93,yes,no,0,312,109,129.4,100,217.6,74,10.5,2,0,TRUE,0,115.6206278,193.8860143
214,OH,63,yes,yes,36,199,110,291.3,111,197.6,92,11,6,1,FALSE,0,111.6572765,115.3606284
215,OK,100,no,no,0,203.1,96,217,126,180.9,122,13.5,2,3,FALSE,0,50.4505615,77.38827131
216,NV,53,no,no,0,168.8,97,220.3,87,154.3,113,10.9,2,0,FALSE,1,91.90094831,76.10801236
217,ID,92,yes,no,0,173.1,140,240.3,105,233.2,117,9,5,1,FALSE,1,87.50321399,74.49416505
218,SD,110,no,yes,40,202.6,103,118.8,128,234.9,98,9,9,2,FALSE,0,95.89469527,123.2472559
219,IL,110,no,no,0,74.5,117,200.8,98,192.2,101,9.8,7,3,FALSE,1,149.9490615,67.57166278
220,WY,215,no,no,0,83.6,148,120.9,91,226.6,110,10.7,9,0,FALSE,1,202.390891,164.3212417
221,AL,73,no,no,0,192.2,86,168.6,116,139.8,87,9.4,6,1,FALSE,0,82.1756428,96.94551057
222,NJ,138,no,no,0,220.2,89,88.3,125,195.3,79,12.9,5,0,FALSE,0,117.9063823,153.7062841
223,NV,137,yes,no,0,135.1,95,134.1,102,223.1,81,12.3,2,2,TRUE,1,116.3968078,87.85963717
224,IN,36,no,no,0,253.4,77,182.4,151,275.8,103,8.4,2,1,FALSE,0,118.9040466,164.2745456
225,WV,85,no,no,0,225,81,176.9,63,194.3,110,7.1,2,3,FALSE,0,50.50761623,103.3830353
226,VA,108,no,no,0,198.5,99,267.8,60,354.9,75,9.4,3,0,TRUE,0,179.179559,184.0208324
227,SC,22,no,no,0,110.3,107,166.5,93,202.3,96,9.5,5,0,FALSE,1,140.6468583,92.54793892
228,IN,51,no,no,0,214.8,94,149.7,58,283.4,66,10.2,5,0,FALSE,0,120.0245835,146.956555
229,AZ,94,no,no,0,181.8,85,202.4,98,245.9,97,9.2,2,4,FALSE,0,64.35409486,66.59732679
230,OR,33,no,yes,29,157.4,99,117.9,80,279.2,79,13.9,11,4,TRUE,1,149.0337193,142.851722
231,NJ,106,no,no,0,207.9,91,172,109,191.8,143,14.4,7,4,FALSE,0,54.31335399,91.47929132
232,MS,82,no,no,0,207,90,232.9,83,172.4,108,9.1,8,3,FALSE,0,58.64333369,84.07937561
233,MI,86,no,yes,41,119,101,230,134,236.9,58,9.5,3,0,FALSE,1,132.3536079,80.33001818
234,TX,97,yes,no,0,143.7,117,273,82,178.3,81,10.9,3,0,FALSE,1,118.1491529,76.92920832
235,DC,108,no,no,0,138.6,122,172.3,117,231.6,92,9.8,3,1,FALSE,1,97.05720691,56.47620726
236,TX,114,no,no,0,84.7,118,249.9,86,193.4,95,14.5,8,1,FALSE,1,151.5217772,74.51334828
237,KS,92,yes,no,0,62.6,111,180.6,126,221.7,80,10.4,2,1,TRUE,1,165.9526995,90.07943746
238,UT,59,no,no,0,155.2,79,235.3,123,169.4,80,8.7,4,1,FALSE,1,101.8700493,71.21367912
